Generation;AvgFitness;MaxFitness
381;5904,910156;7513,06543
380;5874,26123;7513,941406
379;6129,095703;7513,202637
378;5562,950684;7514,080078
377;5686,676758;7514,592773
376;5795,228027;7515,136719
375;5905,208984;7515,116211
374;5614,452148;7513,666504
373;5967,598633;7512,527344
372;6008,187012;7513,336426
371;6006,527832;7514,216309
370;5897,318359;7514,156738
369;5925,600586;7512,311035
368;5915,583008;7513,93457
367;5734,716309;7512,070801
366;5965,526855;7513,45459
365;6097,289551;7513,677246
364;5936,530762;7530,491699
363;5856,382324;7513,24707
362;5874,323242;7512,352051
361;5741,515137;7513,350098
360;6117,928223;7513,720215
359;6267,418457;7514,021484
358;5985,163574;7513,575195
357;5876,263184;7514,797363
356;5734,80127;7517,722168
355;5663,929199;7527,547852
354;5524,9375;7513,087891
353;5664,208496;7513,245117
352;5654,652344;7513,938965
351;5894,921875;7513,170898
350;5664,123535;7515,07959
349;5663,101074;7513,206543
348;5947,539551;7513,001953
347;5632,489258;7518,715332
346;5735,819336;7517,915527
345;6028,115234;7513,841797
344;5705,63623;7513,977539
343;6207,536621;7515,060059
342;5855,52832;7514,477539
341;5270,555176;7512,958496
340;6107,088379;7519,273438
339;5530,728516;7513,389648
338;5935,500488;7539,294434
337;5936,230957;7514,743164
336;5933,579102;7514,327637
335;5611,845703;7513,797852
334;5624,54248;7513,647461
333;5681,838867;7513,372559
332;5632;7514,554199
331;5620,490723;7514,986816
330;5794,012207;7513,647949
329;5521,394531;7514,336426
328;5934,013184;7513,348145
327;5693,288574;7513,861328
326;5500,743164;7513,984375
325;5866,435059;7514,280273
324;6126,804688;7513,431152
323;5762,702637;7513,768066
322;5756,227539;7514,92041
321;5765,459961;7515,384766
320;5673,619629;7513,918457
319;6129,584961;7514,074219
318;5835,005859;7514,910645
317;5490,541992;7513,963379
316;5430,688965;7512,622559
315;5923,744141;7513,714355
314;5853,992676;7513,539551
313;5997,423828;7517,548828
312;5864,799316;7517,689453
311;5974,535156;7514,040039
310;5895,242188;7516,165039
309;5683,43457;7513,704102
308;6216,276367;7514,658203
307;5773,196777;7515,163574
306;5804,094727;7514,759766
305;5481,412109;7513,704102
304;5884,586426;7514,705566
303;6044,394043;7514,255859
302;5693,909668;7513,469727
301;5863,94043;7514,634277
300;5488,992188;7514,987793
299;5812,450195;7519,906738
298;5410,537109;7514,677734
297;6035,90332;7516,317383
296;5684,144531;7514,769043
295;5693,318848;7514,32666
294;5409,530273;7513,778809
293;5549,332031;7514,398926
292;5873,62207;7514,405273
291;5782,373535;7513,375977
290;5621,223145;7514,172363
289;5873,242188;7515,32373
288;5684,339844;7513,969727
287;6158,742188;7514,43457
286;5479,05127;7513,383789
285;5764,223145;7513,958496
284;5824,696289;7514,163086
283;6117,645996;7514,131348
282;5844,152832;7515,258301
281;5603,016113;7516,607422
280;5935,369141;7515,505371
279;5539,970703;7513,337402
278;5824,529785;7514,209961
277;5611,366211;7515,311523
276;5618,94043;7518,720215
275;5631,933105;7515,95752
274;5863,511719;7515,211914
273;5752,584473;7551,163574
272;5661,836914;7515,205566
271;5681,581055;7515,428223
270;5682,457031;7513,987305
269;5611,014648;7514,134766
268;5610,745605;7514,858398
267;5104,799805;7514,340332
266;5742,022461;7517,162109
265;5306,696289;7522,799805
264;4862,650879;7514,517578
263;5346,942383;7513,334961
262;5612,088867;7514,536133
261;5833,480469;7514,05957
260;5628,402344;7517,332031
259;5541,384277;7515,141113
258;5511,702637;7516,276855
257;5791,920898;7514,07666
256;5527,719238;7514,013672
255;5257,250488;7515,206543
254;5551,027344;7513,647949
253;5691,114258;7514,450684
252;5401,324707;7515,473145
251;5771,230469;7513,028809
250;5386,672852;7514,349609
249;5326,773926;7514,705566
248;5824,675293;7512,390625
247;5612,26123;7514,64209
246;5906,627441;7514,018066
245;5661,418457;7514,322266
244;5680,040039;7513,515625
243;5670,742188;7514,873535
242;5470,162109;7513,761719
241;5401,018066;7513,272949
240;5478,450195;7514,790527
239;5984,795898;7515,42627
238;5522,052734;7514,128906
237;5570,247559;7512,785645
236;5570,597656;7525,148438
235;5609,504395;7514,889648
234;5340,12207;7513,015137
233;5570,226074;7514,5
232;5417,881348;7513,570312
231;5810,317383;7514,209961
230;5691,577148;7513,769531
229;5759,941895;7521,86377
228;5599,582031;7513,928223
227;5629,100586;7515,942383
226;5518,205566;7515,541992
225;5792,817383;7514,783203
